round_id,published_at,public_figure,panelist,outcome,playable
ko-181,2023-03-03T10:50:00-03:00,Carla Zambelli,José Roberto de Toledo,did_not_win,true
ko-181,2023-03-03T10:50:00-03:00,Carla Zambelli,Thais Bilenky,winner,true
ko-180,2023-03-10T10:43:38-03:00,Sérgio Cabral,Fernando de Barros e Silva,winner,true
ko-180,2023-03-10T10:43:38-03:00,Sérgio Cabral,José Roberto de Toledo,did_not_win,true
ko-180,2023-03-10T10:43:38-03:00,Sérgio Cabral,Thais Bilenky,did_not_win,true
ko-179,2023-03-17T10:45:00-03:00,Alberto Fraga,Fernando de Barros e Silva,did_not_win,false
ko-179,2023-03-17T10:45:00-03:00,Alberto Fraga,José Roberto de Toledo,did_not_win,false
ko-179,2023-03-17T10:45:00-03:00,Alberto Fraga,Thais Bilenky,did_not_win,false
ko-178,2023-03-24T10:45:01-03:00,Tarcísio de Freitas,Fernando de Barros e Silva,winner,true
ko-178,2023-03-24T10:45:01-03:00,Tarcísio de Freitas,José Roberto de Toledo,did_not_win,true
ko-178,2023-03-24T10:45:01-03:00,Tarcísio de Freitas,Thais Bilenky,did_not_win,true
ko-177,2023-03-31T10:45:00-03:00,,Fernando de Barros e Silva,did_not_win,false
ko-177,2023-03-31T10:45:00-03:00,,José Roberto de Toledo,winner,false
ko-177,2023-03-31T10:45:00-03:00,,Thaís Oyama,did_not_win,false
ko-176,2023-04-07T10:45:01-03:00,Ciro Nogueira,Fernando de Barros e Silva,did_not_win,true
ko-176,2023-04-07T10:45:01-03:00,Ciro Nogueira,José Roberto de Toledo,did_not_win,true
ko-176,2023-04-07T10:45:01-03:00,Ciro Nogueira,Thais Bilenky,winner,true
ko-175,2023-04-14T10:45:01-03:00,José Dirceu,Fernando de Barros e Silva,did_not_win,true
ko-175,2023-04-14T10:45:01-03:00,José Dirceu,José Roberto de Toledo,did_not_win,true
ko-175,2023-04-14T10:45:01-03:00,José Dirceu,Thais Bilenky,winner,true
ko-174,2023-04-21T10:45:01-03:00,Guilherme Boulos,Fernando de Barros e Silva,did_not_win,false
