round_id,published_at,public_figure,panelist,outcome,playable
ko-260,2021-10-22T09:42:00-03:00,,José Roberto de Toledo,did_not_win,false
ko-260,2021-10-22T09:42:00-03:00,,Thais Bilenky,did_not_win,false
ko-259,2021-10-29T09:25:00-03:00,Wagner Moura,Fernando de Barros e Silva,did_not_win,true
ko-259,2021-10-29T09:25:00-03:00,Wagner Moura,José Roberto de Toledo,did_not_win,true
ko-259,2021-10-29T09:25:00-03:00,Wagner Moura,Thaís Oyama,winner,true
ko-259,2021-10-29T09:25:00-03:00,Wagner Moura,Bernardo Esteves,did_not_win,true
ko-258,2021-11-05T10:43:00-03:00,Romeu Zema,Fernando de Barros e Silva,did_not_win,true
ko-258,2021-11-05T10:43:00-03:00,Romeu Zema,José Roberto de Toledo,did_not_win,true
ko-258,2021-11-05T10:43:00-03:00,Romeu Zema,Thais Bilenky,winner,true
ko-258,2021-11-05T10:43:00-03:00,Romeu Zema,Bernardo Esteves,did_not_win,true
ko-257,2021-11-12T10:50:00-03:00,Aécio Neves,Fernando de Barros e Silva,did_not_win,true
ko-257,2021-11-12T10:50:00-03:00,Aécio Neves,José Roberto de Toledo,did_not_win,true
ko-257,2021-11-12T10:50:00-03:00,Aécio Neves,Thais Bilenky,winner,true
ko-257,2021-11-12T10:50:00-03:00,Aécio Neves,Bernardo Esteves,did_not_win,true
ko-256,2021-11-19T10:50:00-03:00,Joaquim Leite,Fernando de Barros e Silva,did_not_win,true
ko-256,2021-11-19T10:50:00-03:00,Joaquim Leite,José Roberto de Toledo,winner,true
ko-256,2021-11-19T10:50:00-03:00,Joaquim Leite,Thais Bilenky,did_not_win,true
ko-254,2021-11-26T10:50:00-03:00,Anitta,Fernando de Barros e Silva,winner,true
ko-254,2021-11-26T10:50:00-03:00,Anitta,José Roberto de Toledo,did_not_win,true
ko-254,2021-11-26T10:50:00-03:00,Anitta,Thais Bilenky,did_not_win,true
ko-252,2021-12-03T10:50:00-03:00,Aldo Rebelo,Fernando de Barros e Silva,did_not_win,true
ko-252,2021-12-03T10:50:00-03:00,Aldo Rebelo,José Roberto de Toledo,winner,true
ko-252,2021-12-03T10:50:00-03:00,Aldo Rebelo,Thaís Oyama,did_not_win,true
ko-250,2021-12-10T10:50:00-03:00,General Santos Cruz,Fernando de Barros e Silva,did_not_win,true
ko-250,2021-12-10T10:50:00-03:00,General Santos Cruz,José Roberto de Toledo,did_not_win,true
ko-250,2021-12-10T10:50:00-03:00,General Santos Cruz,Thais Bilenky,winner,true
ko-248,2021-12-17T10:50:00-03:00,Eduardo Suplicy,Fernando de Barros e Silva,winner,true
ko-248,2021-12-17T10:50:00-03:00,Eduardo Suplicy,José Roberto de Toledo,winner,true
ko-248,2021-12-17T10:50:00-03:00,Eduardo Suplicy,Thais Bilenky,winner,true
ko-246,2022-01-07T10:50:00-03:00,Bia Kicis,José Roberto de Toledo,did_not_win,true
ko-246,2022-01-07T10:50:00-03:00,Bia Kicis,Thais Bilenky,winner,true
ko-246,2022-01-07T10:50:00-03:00,Bia Kicis,Ana Clara Costa,did_not_win,true
ko-245,2022-01-14T10:50:00-03:00,Anthony Garotinho,José Roberto de Toledo,did_not_win,false
ko-245,2022-01-14T10:50:00-03:00,Anthony Garotinho,Thais Bilenky,did_not_win,false
ko-245,2022-01-14T10:50:00-03:00,Anthony Garotinho,Ana Clara Costa,did_not_win,false
ko-244,2022-01-21T10:50:00-03:00,Leda Nagle,Fernando de Barros e Silva,did_not_win,true
ko-244,2022-01-21T10:50:00-03:00,Leda Nagle,José Roberto de Toledo,did_not_win,true
ko-244,2022-01-21T10:50:00-03:00,Leda Nagle,Thais Bilenky,winner,true
ko-243,2022-01-28T10:50:00-03:00,Ciro Nogueira,Fernando de Barros e Silva,did_not_win,true
ko-243,2022-01-28T10:50:00-03:00,Ciro Nogueira,José Roberto de Toledo,did_not_win,true
ko-243,2022-01-28T10:50:00-03:00,Ciro Nogueira,Thais Bilenky,winner,true
ko-242,2022-02-04T10:50:00-03:00,Lucélia Santos,Fernando de Barros e Silva,did_not_win,true
ko-242,2022-02-04T10:50:00-03:00,Lucélia Santos,José Roberto de Toledo,winner,true
ko-242,2022-02-04T10:50:00-03:00,Lucélia Santos,Thais Bilenky,did_not_win,true
ko-241,2022-02-11T10:50:00-03:00,Álvaro Dias,Fernando de Barros e Silva,winner,true
ko-241,2022-02-11T10:50:00-03:00,Álvaro Dias,José Roberto de Toledo,winner,true
ko-241,2022-02-11T10:50:00-03:00,Álvaro Dias,Thais Bilenky,did_not_win,true
ko-240,2022-02-18T10:50:00-03:00,Tarcísio Gomes de Freitas,Fernando de Barros e Silva,did_not_win,true
ko-240,2022-02-18T10:50:00-03:00,Tarcísio Gomes de Freitas,José Roberto de Toledo,winner,true
ko-240,2022-02-18T10:50:00-03:00,Tarcísio Gomes de Freitas,Thais Bilenky,did_not_win,true
ko-239,2022-02-25T10:50:00-03:00,João Roma,Fernando de Barros e Silva,did_not_win,false
ko-239,2022-02-25T10:50:00-03:00,João Roma,José Roberto de Toledo,did_not_win,false
ko-239,2022-02-25T10:50:00-03:00,João Roma,Thais Bilenky,did_not_win,false
ko-238,2022-03-04T10:50:00-03:00,Bia Doria,Fernando de Barros e Silva,did_not_win,true
ko-238,2022-03-04T10:50:00-03:00,Bia Doria,Thais Bilenky,winner,true
ko-238,2022-03-04T10:50:00-03:00,Bia Doria,Ana Clara Costa,did_not_win,true
ko-237,2022-03-11T10:50:00-03:00,Sérgio Reis,Fernando de Barros e Silva,did_not_win,false
ko-237,2022-03-11T10:50:00-03:00,Sérgio Reis,Thais Bilenky,did_not_win,false
ko-236,2022-03-18T10:50:00-03:00,Rui Falcão,Fernando de Barros e Silva,did_not_win,true
ko-236,2022-03-18T10:50:00-03:00,Rui Falcão,Thais Bilenky,winner,true
ko-236,2022-03-18T10:50:00-03:00,Rui Falcão,Ana Clara Costa,did_not_win,true
ko-235,2022-03-25T10:50:00-03:00,Fabrício Queiroz,Fernando de Barros e Silva,did_not_win,true
ko-235,2022-03-25T10:50:00-03:00,Fabrício Queiroz,Thais Bilenky,did_not_win,true
